substance_a,substance_b,substance_a_norm,substance_b_norm,severity,ansm_codes,mechanism,conduct,source_page
ABATACEPT,ANTI-TNF ALPHA,abatacept,anti-tnf alpha,high,ASDEC,Majoration de l’immunodépression.,,3
ABATACEPT,VACCINS VIVANTS ATTÉNUÉS,abatacept,vaccins vivants attenues,high,ASDEC,"Risque de maladie vaccinale généralisée, éventuellement mortelle.",ainsi que pendant les 3 mois suivant l'arrêt du traitement.,3
ABIRATERONE,INDUCTEURS ENZYMATIQUES PUISSANTS,abiraterone,inducteurs enzymatiques puissants,high,ASDEC,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",,3
ABIRATERONE,METOPROLOL,abiraterone,metoprolol,moderate,PE,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par l'abiratérone.",3
ABIRATERONE,PROPAFENONE,abiraterone,propafenone,moderate,PE,"Risque d'augmentation des effets indésirables de la propafénone, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie de la propafénone pendant le traitement par l'abiratérone.",3
ABIRATERONE,RIFAMPICINE,abiraterone,rifampicine,high,ASDEC,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",,3
ABROCITINIB,FLUCONAZOLE,abrocitinib,fluconazole,moderate,PE,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme.,Réduire la posologie de l’abrocitinib de moitié en cas de traitement par le fluconazole.,3
ABROCITINIB,FLUVOXAMINE,abrocitinib,fluvoxamine,moderate,PE,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme.,Réduire la posologie de l’abrocitinib de moitié en cas de traitement par la fluvoxamine.,3
ACETAZOLAMIDE,ACIDE ACETYLSALICYLIQUE,acetazolamide,acide acetylsalicylique,high,ASDEC,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",,3
ACETAZOLAMIDE,CARBAMAZEPINE,acetazolamide,carbamazepine,moderate,PE,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.,"Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie.",3
ACETAZOLAMIDE,LITHIUM,acetazolamide,lithium,moderate,PE,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique.,Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.,3
ACETAZOLAMIDE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",acetazolamide,"valproique (acide) et, par extrapolation, valpromide",moderate,PE,"Augmentation de l'hyperammoniémie, avec risque accru d'encéphalopathie.",Surveillance clinique et biologique régulière.,3
ACIDE ACETOHYDROXAMIQUE,FER,acide acetohydroxamique,fer,low,APEC,Diminution de l'absorption digestive de ces deux médicaments par chélation du fer.,,4
ACIDE ACETYLSALICYLIQUE,ACETAZOLAMIDE,acide acetylsalicylique,acetazolamide,high,ASDEC,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",,4
ACIDE ACETYLSALICYLIQUE,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,acide acetylsalicylique,antagonistes des recepteurs de l'angiotensine ii,moderate,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l’association.,4
ACIDE ACETYLSALICYLIQUE,ANTICOAGULANTS ORAUX,acide acetylsalicylique,anticoagulants oraux,critical,CI;ASDEC;APEC,"Majoration du risque hémorragique, notamment en cas d’antécédent d’ulcère gastro-duodénal.","Contre-indication avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) et en cas d’antécédent d’ulcère gastro-duodénal Association déconseillée avec : - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) en l'absence d’antécédent d’ulcère gastro-duodénal - des doses antiagrégantes (de 50 mg à 375 mg par jour) et en cas d’antécédent d’ulcère gastro-duodénal. Nécessité d'un contrôle le cas échéant, en particulier du temps de saignement. A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour)",4
ACIDE ACETYLSALICYLIQUE,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,acide acetylsalicylique,anti-inflammatoires non steroidiens,high,ASDEC;APEC,Majoration du risque ulcérogène et hémorragique digestif.,Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour en 1 ou plusieurs prises),4
ACIDE ACETYLSALICYLIQUE,CLOPIDOGREL,acide acetylsalicylique,clopidogrel,high,ASDEC;PE,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,Association déconseillée : - en dehors des indications validées pour cette association dans les syndromes coronariens aigus. Précaution d'emploi : - dans les indications validées pour cette association dans les syndromes coronariens aigus. Surveillance clinique.,4
ACIDE ACETYLSALICYLIQUE,DEFERASIROX,acide acetylsalicylique,deferasirox,low,APEC,Majoration du risque ulcérogène et hémorragique digestif.,A prendre en compte : - Pour des doses anti-inflammatoires d'acide acétylsalicylique ( 1g par prise et/ou 3g par jour) - Pour des doses antalgiques ou antipyrétiques d'acide acétylsalicylique ( 500 mg par prise et/ou <3g par jour) et ( 500 mg par prise et/ou <3g par jour),4
ACIDE ACETYLSALICYLIQUE,DIURÉTIQUES,acide acetylsalicylique,diuretiques,moderate,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l’association.,4
ACIDE ACETYLSALICYLIQUE,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),acide acetylsalicylique,glucocorticoides (sauf hydrocortisone),high,ASDEC;APEC,Majoration du risque hémorragique.,Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) A prendre en compte avec : - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour).,5
ACIDE ACETYLSALICYLIQUE,HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ),acide acetylsalicylique,heparines (doses curatives et/ou sujet age),high,ASDEC;APEC,Augmentation du risque hémorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodénale par l’acide acétylsalicylique.,Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyrétique. A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour).,5
ACIDE ACETYLSALICYLIQUE,HÉPARINES (DOSES PRÉVENTIVES),acide acetylsalicylique,heparines (doses preventives),low,APEC,"L’utilisation conjointe de médicaments agissant à divers niveaux de l’hémostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l’association de l'héparine à doses préventives, ou de substances apparentées, à l’acide acétylsalicylique, quelle que soit la dose, doit être prise en compte en maintenant une surveillance clinique et éventuellement biologique.",,5
ACIDE ACETYLSALICYLIQUE,INHIBITEURS DE L'ENZYME DE CONVERSION,acide acetylsalicylique,inhibiteurs de l'enzyme de conversion,moderate,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l’association.,5
ACIDE ACETYLSALICYLIQUE,METHOTREXATE,acide acetylsalicylique,methotrexate,critical,CI;PE,"Majoration de la toxicité, notamment hématologique, du méthotrexate (diminution de sa clairance rénale par l'acide acétylsalicylique).","Avec le méthotrexate utilisé à des doses > 20 mg/semaine : - contre-indication avec l'acide acétylsalicylique utilisé à doses antalgiques, antipyrétiques ou anti-inflammatoires - précaution d'emploi avec des doses antiagrégantes plaquettaires d'acide acétylsalicylique. Contrôle hebdomadaire de l’hémogramme durant les premières semaines de l’association. Surveillance accrue en cas d’altération (même légère) de la fonction rénale, ainsi que chez le sujet âgé. Avec le méthotrexate utilisé à des doses =< 20 mg/semaine : - précaution d'emploi avec l'acide acétylsalicylique utilisé à doses antalgiques, antipyrétiques ou anti-inflammatoires. Contrôle hebdomadaire de l’hémogramme durant les premières semaines de l’association. Surveillance accrue en cas d’altération (même légère) de la fonction rénale, ainsi que chez le sujet âgé.",5
ACIDE ACETYLSALICYLIQUE,NICORANDIL,acide acetylsalicylique,nicorandil,high,ASDEC,Majoration du risque ulcérogène et hémorragique digestif.,,5
ACIDE ACETYLSALICYLIQUE,PEMETREXED,acide acetylsalicylique,pemetrexed,high,ASDEC;PE,Risque de majoration de la toxicité du pemetrexed (diminution de sa clairance rénale par l’acide acétylsalicylique à doses anti- inflammatoires).,Association déconseillée : - en cas de fonction rénale faible à modérée . Précaution d'emploi : - en cas de fonction rénale normale. Surveillance biologique de la fonction rénale.,5
ACIDE ACETYLSALICYLIQUE,PROBENECIDE,acide acetylsalicylique,probenecide,high,ASDEC,Diminution de l’effet uricosurique par compétition de l’élimination de l’acide urique au niveau des tubules rénaux.,,5
ACIDE ACETYLSALICYLIQUE,TICAGRELOR,acide acetylsalicylique,ticagrelor,high,ASDEC;PE,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,Association déconseillée : - en dehors des indications validées pour cette association dans les syndromes coronariens aigus. Précaution d'emploi : - dans les indications validées pour cette association dans les syndromes coronariens aigus. Surveillance clinique.,6
ACIDE ACETYLSALICYLIQUE,TICLOPIDINE,acide acetylsalicylique,ticlopidine,high,ASDEC,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,"Si l’association ne peut être évitée, surveillance clinique étroite.",6
ACIDE ASCORBIQUE,CICLOSPORINE,acide ascorbique,ciclosporine,low,APEC,"Risque de diminution des concentrations sanguines de la ciclosporine, notamment en cas d’association avec la vitamine E.",,6
ACIDE ASCORBIQUE,DÉFÉRIPRONE,acide ascorbique,deferiprone,moderate,PE,"Par extrapolation à partir de l’interaction avec la déféroxamine : avec l’acide ascorbique à fortes doses et par voie IV, risque d’anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l’arrêt de la vitamine C).",,6
ACIDE ASCORBIQUE,DÉFÉROXAMINE,acide ascorbique,deferoxamine,moderate,PE,"Avec l'acide ascorbique à fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l'arrêt de la vitamine C).","En cas d'hémochromatose, ne donner de la vitamine C qu'après avoir commencé le traitement par la déféroxamine. Surveiller la fonction cardiaque en cas d'association.",6
ACIDE CHOLIQUE,"PHÉNOBARBITAL (ET, PAR EXTRAPOLATION, PRIMIDONE)",acide cholique,"phenobarbital (et, par extrapolation, primidone)",critical,CI,Effet antagoniste du barbiturique.,,6
ACIDE CLODRONIQUE,ESTRAMUSTINE,acide clodronique,estramustine,moderate,PE,Risque d’augmentation des concentrations plasmatiques d’estramustine par le clodronate.,Surveillance clinique au cours de l’association.,6
ACIDE FOLINIQUE,"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)",acide folinique,"fluorouracile (et, par extrapolation, autres fluoropyrimidines)",low,APEC,"Potentialisation des effets, à la fois cytostatiques et indésirables, du fluoro-uracile.",,6
ACIDE FUSIDIQUE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),acide fusidique,inhibiteurs de l'hmg-coa reductase (statines),critical,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Arrêter le traitement par l'inhibiteur de l'HMG Co-A réductase avant d'initier un traitement par acide fusidique ou utiliser un autre antibiotique.,6
ACIDE FUSIDIQUE,OMBITASVIR + PARITAPRÉVIR,acide fusidique,ombitasvir + paritaprevir,critical,CI,Augmentation des concentrations plasmatiques de l'acide fusidique par diminution de son métabolisme hépatique par la bithérapie.,,6
ACIDE NICOTINIQUE,ALCOOL (BOISSON OU EXCIPIENT),acide nicotinique,alcool (boisson ou excipient),low,APEC,"Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur.",,6
ACIDE URSODESOXYCHOLIQUE,CICLOSPORINE,acide ursodesoxycholique,ciclosporine,low,APEC,Risque de variation des concentrations sanguines de ciclosporine.,,7
ACITRETINE,ALCOOL (BOISSON OU EXCIPIENT),acitretine,alcool (boisson ou excipient),critical,CI,"Chez la femme en âge de procréer, risque de transformation de l’acitrétine en étrétinate, puissant tératogène dont la demi-vie très prolongée (120 jours) expose à un risque tératogène majeur en cas de grossesse, pendant le traitement et les 2 mois suivant son arrêt.",,7
ACITRETINE,METHOTREXATE,acitretine,methotrexate,critical,CI,Risque de majoration de l'hépatotoxicité du méthotrexate.,,7
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),ANESTHÉSIQUES VOLATILS HALOGÉNÉS,adrenaline (voie bucco-dentaire ou sous-cutanee),anesthesiques volatils halogenes,moderate,PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte.",7
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),ANTIDÉPRESSEURS IMIPRAMINIQUES,adrenaline (voie bucco-dentaire ou sous-cutanee),antidepresseurs imipraminiques,moderate,PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte.",7
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),IMAO IRRÉVERSIBLES,adrenaline (voie bucco-dentaire ou sous-cutanee),imao irreversibles,moderate,PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte.",7
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,adrenaline (voie bucco-dentaire ou sous-cutanee),medicaments mixtes adrenergiques-serotoninergiques,moderate,PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte.",7
AFATINIB,AMIODARONE,afatinib,amiodarone,moderate,PE,Augmentation des concentrations plasmatiques d’afatinib par augmentation de son absorption par l'amiodarone.,"Il est recommandé d’administrer l'amiodarone le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib.",7
AFATINIB,CICLOSPORINE,afatinib,ciclosporine,moderate,PE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par la ciclosporine.,"Il est recommandé d’administrer la ciclosporine le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib.",7
AFATINIB,ERYTHROMYCINE,afatinib,erythromycine,moderate,PE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par l'érythromycine.,"Il est recommandé d’administrer l'érythromycine le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib.",7
AFATINIB,INDUCTEURS ENZYMATIQUES PUISSANTS,afatinib,inducteurs enzymatiques puissants,moderate,PE,Diminution des concentrations plasmatiques de l’afatinib par augmentation de son métabolisme par ces substances.,Surveillance clinique pendant l’association et 1 à 2 semaines après leur arrêt.,7
AFATINIB,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,afatinib,inhibiteurs de proteases boostes par ritonavir,moderate,PE,Augmentation des concentrations plasmatiques d’afatinib par augmentation de son absorption par l'inhibiteur de protéases.,"Il est recommandé d’administrer l'inhibiteur de protéases le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib.",7
AFATINIB,ITRACONAZOLE,afatinib,itraconazole,moderate,PE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par l'itraconazole.,"Il est recommandé d’administrer l'itraconazole le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib.",8
AFATINIB,KETOCONAZOLE,afatinib,ketoconazole,moderate,PE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par le kétoconazole.,"Il est recommandé d’administrer le kétoconazole le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib.",8
AFATINIB,PRIMIDONE,afatinib,primidone,moderate,PE,Diminution des concentrations plasmatiques de l’afatinib par augmentation de son métabolisme par la primidone.,Surveillance clinique pendant l’association et 1 à 2 semaines après leur arrêt.,8
AFATINIB,RIFAMPICINE,afatinib,rifampicine,moderate,PE,Diminution des concentrations plasmatiques de l’afatinib par augmentation de son métabolisme par la rifampicine.,Surveillance clinique pendant l’association et 1 à 2 semaines après leur arrêt.,8
AFATINIB,VERAPAMIL,afatinib,verapamil,moderate,PE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par le vérapamil.,"Il est recommandé d’administrer le vérapamil le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib.",8
AGOMELATINE,CIPROFLOXACINE,agomelatine,ciprofloxacine,high,ASDEC,"Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables.",,8
AGOMELATINE,FLUVOXAMINE,agomelatine,fluvoxamine,critical,CI,"Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables.",,8
ALBENDAZOLE,INDUCTEURS ENZYMATIQUES PUISSANTS,albendazole,inducteurs enzymatiques puissants,moderate,PE,"Diminution importante des concentrations plasmatiques de l’albendazole et de son métabolite actif par l’inducteur, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l’albendazole pendant le traitement avec l’inducteur enzymatique et après son arrêt.,8
ALBENDAZOLE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,albendazole,inhibiteurs de proteases boostes par ritonavir,moderate,PE,"Diminution importante des concentrations plasmatiques de l’albendazole et de son métabolite actif par le ritonavir, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l’albendazole pendant le traitement avec l’inducteur enzymatique et après son arrêt.,8
ALBENDAZOLE,RIFAMPICINE,albendazole,rifampicine,moderate,PE,"Diminution importante des concentrations plasmatiques de l’albendazole et de son métabolite actif par l’inducteur, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l’albendazole pendant le traitement avec l’inducteur enzymatique et après son arrêt.,8
ALCALINISANTS URINAIRES,HYDROQUINIDINE,alcalinisants urinaires,hydroquinidine,moderate,PE,Augmentation des concentrations plasmatiques de l'hydroquinidine et risque de surdosage (diminution de l'excrétion rénale de l'hydroquinidine par alcalinisation des urines).,"Surveillance clinique, ECG et éventuellement contrôle des concentrations de l'hydroquinidine ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt.",8
ALCALINISANTS URINAIRES,QUINIDINE,alcalinisants urinaires,quinidine,moderate,PE,Augmentation des concentrations plasmatiques de la quinidine et risque de surdosage (diminution de l'excrétion rénale de la quinidine par alcalinisation des urines).,"Surveillance clinique, ECG et éventuellement contrôle de la quinidinémie ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt.",8
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,alcaloides de l'ergot de seigle dopaminergiques,alcaloides de l'ergot de seigle vasoconstricteurs,high,ASDEC,Risque de vasoconstriction et/ou de poussées hypertensives.,,9
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,ANTIPARKINSONIENS ANTICHOLINERGIQUES,alcaloides de l'ergot de seigle dopaminergiques,antiparkinsoniens anticholinergiques,moderate,PE,Risque de majoration des troubles neuropsychiques.,"Surveillance clinique et biologique régulière, notamment en début d'association.",9
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,MACROLIDES (SAUF SPIRAMYCINE),alcaloides de l'ergot de seigle dopaminergiques,macrolides (sauf spiramycine),high,ASDEC,Augmentation des concentrations plasmatiques du dopaminergique avec accroissement possible de son activité ou apparition de signes de surdosage.,,9
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE),alcaloides de l'ergot de seigle dopaminergiques,sympathomimetiques alpha (voies orale et/ou nasale),high,ASDEC,Risque de vasoconstriction et/ou de poussées hypertensives.,,9
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,SYMPATHOMIMÉTIQUES INDIRECTS,alcaloides de l'ergot de seigle dopaminergiques,sympathomimetiques indirects,high,ASDEC,Risque de vasoconstriction et/ou de poussées hypertensives.,,9
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,alcaloides de l'ergot de seigle vasoconstricteurs,alcaloides de l'ergot de seigle dopaminergiques,high,ASDEC,Risque de vasoconstriction et/ou de poussées hypertensives.,,9
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,INHIBITEURS PUISSANTS DU CYP3A4,alcaloides de l'ergot de seigle vasoconstricteurs,inhibiteurs puissants du cyp3a4,critical,CI,"Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.",,9
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,LÉTERMOVIR,alcaloides de l'ergot de seigle vasoconstricteurs,letermovir,critical,CI,"Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.",,9
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,OMBITASVIR + PARITAPRÉVIR,alcaloides de l'ergot de seigle vasoconstricteurs,ombitasvir + paritaprevir,critical,CI,Augmentation des concentrations plasmatiques de l'alcaloïde de l'ergot de seigle vasoconstricteur par diminution de son métabolisme hépatique par la bithérapie.,,9
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE),alcaloides de l'ergot de seigle vasoconstricteurs,sympathomimetiques alpha (voies orale et/ou nasale),high,ASDEC,Risque de vasoconstriction et/ou de poussées hypertensives.,,9
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,SYMPATHOMIMÉTIQUES INDIRECTS,alcaloides de l'ergot de seigle vasoconstricteurs,sympathomimetiques indirects,high,ASDEC,Risque de vasoconstriction et/ou de poussées hypertensives.,,9
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,TRIPTANS,alcaloides de l'ergot de seigle vasoconstricteurs,triptans,critical,CI,"Risque d'hypertension artérielle, de vasoconstriction artérielle coronaire.","Respecter un délai de 6 à 24 heures, selon le triptan, entre la prise de celui-ci et celle de l'alcaloïde ergoté",9
ALCOOL (BOISSON OU EXCIPIENT),ACIDE NICOTINIQUE,alcool (boisson ou excipient),acide nicotinique,low,APEC,"Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur.",,9
ALCOOL (BOISSON OU EXCIPIENT),ACITRETINE,alcool (boisson ou excipient),acitretine,critical,CI,"Chez la femme en âge de procréer, risque de transformation de l’acitrétine en étrétinate, puissant tératogène dont la demi-vie très prolongée (120 jours) expose à un risque tératogène majeur en cas de grossesse, pendant le traitement et les 2 mois suivant son arrêt.",,10
ALCOOL (BOISSON OU EXCIPIENT),ANTABUSE (RÉACTION),alcool (boisson ou excipient),antabuse (reaction),high,ASDEC,"Effet antabuse (chaleur, rougeurs, vomissements, tachycardie).",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool. Tenir compte de l’élimination complète des médicaments en se référant à leur demi-vie avant la reprise de boissons alcoolisées ou du médicament contenant de l’alcool.,10
ALCOOL (BOISSON OU EXCIPIENT),IMAO IRRÉVERSIBLES,alcool (boisson ou excipient),imao irreversibles,high,ASDEC,"Majoration des effets hypertenseurs et/ou hyperthermiques de la tyramine présente dans certaines boissons alcoolisées (chianti, certaines bières, etc).",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.,10
ALCOOL (BOISSON OU EXCIPIENT),INSULINE,alcool (boisson ou excipient),insuline,high,ASDEC,Augmentation de la réaction hypoglycémique (inhibition des réactions de compensation pouvant faciliter la survenue de coma hypoglycémique).,Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.,10
ALCOOL (BOISSON OU EXCIPIENT),MÉDICAMENTS SÉDATIFS,alcool (boisson ou excipient),medicaments sedatifs,high,ASDEC,Majoration par l'alcool de l'effet sédatif de ces substances. L'altération de la vigilance peut rendre dangereuses la conduite de véhicules et l'utilisation de machines.,Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.,10
ALCOOL (BOISSON OU EXCIPIENT),METFORMINE,alcool (boisson ou excipient),metformine,high,ASDEC,"Risque majoré d'acidose lactique lors d'intoxication alcoolique aiguë, particulièrement en cas de jeûne ou dénutrition, ou bien d'insuffisance hépatocellulaire.",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.,10
ALCOOL (BOISSON OU EXCIPIENT),SULFAMIDES HYPOGLYCÉMIANTS,alcool (boisson ou excipient),sulfamides hypoglycemiants,high,ASDEC,"Effet antabuse, notamment pour glibenclamide, glipizide, tolbutamide. Augmentation de la réaction hypoglycémique (inhibition des réactions de compensation) pouvant faciliter la survenue de coma hypoglycémique.",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.,10
