substance_a,substance_b,substance_a_norm,substance_b_norm,severity,ansm_codes,mechanism,conduct,source_page
TALAZOPARIB,CICLOSPORINE,talazoparib,ciclosporine,moderate,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.,236
TALAZOPARIB,CLARITHROMYCINE,talazoparib,clarithromycine,moderate,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.,236
TALAZOPARIB,DRONEDARONE,talazoparib,dronedarone,moderate,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.,236
TALAZOPARIB,ERYTHROMYCINE,talazoparib,erythromycine,moderate,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.,236
TALAZOPARIB,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,talazoparib,inhibiteurs de proteases boostes par ritonavir,moderate,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.,237
TALAZOPARIB,ITRACONAZOLE,talazoparib,itraconazole,moderate,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.,237
TALAZOPARIB,QUINIDINE,talazoparib,quinidine,moderate,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.,237
TALAZOPARIB,VERAPAMIL,talazoparib,verapamil,moderate,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.,237
TAMOXIFENE,ANTIVITAMINES K,tamoxifene,antivitamines k,moderate,PE,Risque d'augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K.,237
TAMOXIFENE,BUPROPION,tamoxifene,bupropion,high,ASDEC,"Risque de baisse de l'efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par le bupropion.",,237
TAMOXIFENE,DULOXETINE,tamoxifene,duloxetine,high,ASDEC,"Risque de baisse de l'efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par la duloxétine.",,237
TAMOXIFENE,FLUOXETINE,tamoxifene,fluoxetine,high,ASDEC,"Baisse de l’efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par la fluoxétine.",,237
TAMOXIFENE,INDUCTEURS ENZYMATIQUES,tamoxifene,inducteurs enzymatiques,low,APEC,Risque d’inefficacité du tamoxifène par augmentation de son métabolisme par l’inducteur.,,237
TAMOXIFENE,MILLEPERTUIS,tamoxifene,millepertuis,critical,CI,Risque d’inefficacité du tamoxifène par augmentation de son métabolisme par le millepertuis.,,237
