"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"AMIODARONE","SOFOSBUVIR","Survenue de bradycardie éventuellement brutale, pouvant avoir des conséquences fatales.","Association DECONSEILLEE","Si inévitable, surveillance clinique et ECG étroite (surveillance continue à l'hôpital pendant 48h). Prendre en compte la longue demi-vie de l'amiodarone."
"AMIODARONE","TACROLIMUS","Augmentation des concentrations sanguines de tacrolimus par inhibition de son métabolisme par l'amiodarone.","Précaution d'emploi","Dosage du tacrolimus, contrôle de la fonction rénale et adaptation posologique."
"AMIODARONE","TALAZOPARIB","Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.","Précaution d'emploi","Réduire la dose de talazoparib."
"AMIODARONE","TAMSULOSINE","Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique.","Précaution d'emploi","Surveillance clinique et adaptation posologique pendant le traitement et après son arrêt."
"AMIODARONE","TOLVAPTAN","Augmentation des concentrations de tolvaptan (diurèse importante, déshydratation, insuffisance rénale aiguë).","Précaution d'emploi","Réduire la posologie de tolvaptan de moitié."
"AMIODARONE","VÉNÉTOCLAX","Risque d'augmentation des effets indésirables du vénétoclax par diminution de son métabolisme hépatique.","Précaution d memploi","Surveillance clinique et biologique régulière (hématologique) et adaptation posologique."
"AMIODARONE","VERAPAMIL","Pour vérapamil IV: risque de bradycardie ou BAV. Pour vérapamil per os: risque de bradycardie ou BAV, notamment chez les personnes âgées.","Association déconseillée / Précaution d'emploi","Association déconseillée avec vérapamil IV (surveillance clinique et ECG continu si inévitable). Précaution d'emploi avec vérapamil per os."
"AMIODARONE","VORICONAZOLE","Risque majoré de troubles du rythme ventriculaire (torsades de pointes) par possible diminution du métabolisme de l'amiodarone.","Précaution d'emploi","Surveillance clinique et ECG, et adaptation éventuelle de la posologie de l'amiodarone."
"AMLODIPINE","SIMVASTATINE","Risque majoré d'effets indésirables (dose-dépendants) à type de rhabdomyolyse.","Précaution d'emploi","Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée."
"AMPHOTERICINE B","AMINOSIDES","Avec l'amphotéricine B administrée par voie IV: risque accru de néphrotoxicité.","A prendre en compte",""
"AMPHOTERICINE B","CICLOSPORINE","Avec l'amphotéricine B IV: augmentation de la créatininémie plus importante que sous ciclosporine seule (synergie des effets néphrotoxiques).","A prendre en compte",""
"AMPHOTERICINE B","TACROLIMUS","Avec l'amphotéricine B IV: augmentation de la créatininémie plus importante que sous tacrolimus seul (synergie des effets néphrotoxiques).","A prendre en compte",""
"AMPHOTERICINE B","ZIDOVUDINE","Avec l'amphotéricine B IV: augmentation de la toxicité hématologique (addition d'effets de toxicité médullaire).","Précaution d'emploi","Contrôle plus fréquent de l'hémogramme."
"ANAGRELIDE","ANTIAGRÉGANTS PLAQUETTAIRES","Majoration des événements hémorragiques.","Association DECONSEILLEE",""
"ANAGRELIDE","OMEPRAZOLE","Risque de moindre efficacité de l'anagrélide par augmentation de son métabolisme par l'oméprazole.","A prendre en compte","Préférer un autre inhibiteur de la pompe à protons."
"ANAGRELIDE","SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES","Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.","Précaution d'emploi","Surveillance clinique et électrocardiographique pendant l'association."
"ANAKINRA","ANTI-TNF ALPHA","Risque accru d'infections graves et de neutropénies.","Association DECONSEILLEE",""
"ANAKINRA","ETANERCEPT","Risque accru d'infections graves et de neutropénies.","Association DECONSEILLEE",""
"ANALGÉSIQUES MORPHINIQUES AGONISTES","AUTRES ANALGÉSIQUES MORPHINIQUES AGONISTES","Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.","A prendre en compte",""
"ANALGÉSIQUES MORPHINIQUES AGONISTES","ANTITUSSIFS MORPHINE-LIKE","Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.","A prendre en compte",""
"ANALGÉSIQUES MORPHINIQUES AGONISTES","ANTITUSSIFS MORPHINIQUES VRAIS","Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.","A prendre en compte",""
"ANALGÉSIQUES MORPHINIQUES DE PALIER II","MORPHINIQUES AGONISTES-ANTAGONISTES","Diminution de l'effet antalgique par blocage compétitif des récepteurs, avec risque d'apparition d'un syndrome de sevrage.","Association DECONSEILLEE",""
