"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"ANTICOAGULANTS ORAUX","THROMBOLYTIQUES","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTICOAGULANTS ORAUX","TRAMADOL","Augmentation du risque hémorragique.","A prendre en compte","Surveillance particulièrement chez le sujet âgé."
"ANTICONVULSIVANTS MÉTABOLISÉS","MILLEPERTUIS","Risque de diminution des concentrations plasmatiques et de l'efficacité de l'anticonvulsivant.","CONTRE-INDICATION",""
"ANTICORPS MONOCLONAUX (HORS ANTI-TNF ALPHA)","VACCINS VIVANTS ATTÉNUÉS","Risque de maladie vaccinale généralisée, éventuellement mortelle.","Association déconseillée / A prendre en compte","Association déconseillée avec anifrolumab, atezolizumab, belimumab, etc. A prendre en compte avec alemtuzumab, amivantamab, cetuximab, denosumab, etc."
"ANTIDÉPRESSEURS IMIPRAMINIQUES","ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE)","Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.","Précaution d'emploi","Limiter l'apport: moins de 0,1 mg en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
"ANTIDÉPRESSEURS IMIPRAMINIQUES","ANTIHYPERTENSEURS CENTRAUX","Risque d'inhibition de l'effet antihypertenseur par l'antidépresseur (antagonisme des récepteurs adrénergiques).","Association DECONSEILLEE",""
"ANTIDÉPRESSEURS IMIPRAMINIQUES","BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE","Effet vasodilatateur et risque d'hypotension, notamment orthostatique (effet additif).","A prendre en compte",""
"ANTIDÉPRESSEURS IMIPRAMINIQUES","INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE","Augmentation des concentrations d'imipraminique avec risque de convulsions et augmentation des effets indésirables.","Précaution d'emploi","Surveillance clinique accrue et adaptation posologique si nécessaire."
"ANTIDÉPRESSEURS IMIPRAMINIQUES","ORLISTAT","Risque d'échec thérapeutique en cas de traitement concomitant par orlistat.","A prendre en compte",""
"ANTIDÉPRESSEURS IMIPRAMINIQUES","SYMPATHOMIMÉTIQUES ALPHA ET BÊTA (VOIE IM ET IV)","Hypertension paroxystique avec possibilité de troubles du rythme.","Association DECONSEILLEE",""
"ANTIHYPERTENSEURS ALPHA-BLOQUANTS","ALPHABLOQUANTS À VISÉE UROLOGIQUE","Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique sévère.","Association DECONSEILLEE",""
"ANTIHYPERTENSEURS ALPHA-BLOQUANTS","ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS","Majoration de l'effet hypotenseur. Risque majoré d'hypotension orthostatique.","A prendre en compte",""
"ANTIHYPERTENSEURS ALPHA-BLOQUANTS","INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5","Risque d'hypotension orthostatique, notamment chez le sujet âgé.","Association déconseillée / Précaution d'emploi","Association déconseillée avec doxazosine. Précaution d'emploi avec les autres (débuter aux posologies minimales)."
"ANTIHYPERTENSEURS CENTRAUX","ANTIDÉPRESSEURS IMIPRAMINIQUES","Risque d'inhibition de l'effet antihypertenseur par l'antidépresseur.","Association DECONSEILLEE",""
"ANTIHYPERTENSEURS CENTRAUX","BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES)","Augmentation importante de la pression artérielle en cas d'arrêt brutal de l'antihypertenseur central.","Précaution d'emploi","Éviter l'arrêt brutal du traitement antihypertenseur central. Surveillance clinique."
"ANTIHYPERTENSEURS CENTRAUX","BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE","Diminution du tonus sympathique et effet vasodilatateur préjudiciables en cas d'insuffisance cardiaque.","Association DECONSEILLEE",""
"ANTIHYPERTENSEURS CENTRAUX","DILTIAZEM","Troubles de l'automatisme (troubles de la conduction AV par addition des effets négatifs).","A prendre en compte",""
"ANTIHYPERTENSEURS CENTRAUX","VERAPAMIL","Troubles de l'automatisme (troubles de la conduction AV par addition des effets négatifs).","A prendre en compte",""
"ANTIHYPERTENSEURS CENTRAUX","YOHIMBINE","Inhibition possible de l'activité antihypertensive par antagonisme au niveau des récepteurs.","Association DECONSEILLEE",""
"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS","ALPHABLOQUANTS À VISÉE UROLOGIQUE","Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique majoré.","A prendre en compte",""
"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS","ANTIHYPERTENSEURS ALPHA-BLOQUANTS","Majoration de l'effet hypotenseur. Risque majoré d'hypotension orthostatique.","A prendre en compte",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","AUTRES ANTI-INFLAMMATOIRES NON STÉROÏDIENS","Majoration du risque ulcérogène et hémorragique digestif.","Association DECONSEILLEE",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","ACIDE ACETYLSALICYLIQUE","Majoration du risque ulcérogène et hémorragique digestif.","Association déconseillée / A prendre en compte","Association déconseillée à doses anti-inflammatoires ou antalgiques/antipyrétiques d'AAS. A prendre en compte avec doses antiagrégantes."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, diurétiques, altération rénale). Réduction de l'effet antihypertenseur.","Précaution d'emploi","Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","ANTIAGRÉGANTS PLAQUETTAIRES","Augmentation du risque hémorragique, notamment gastro-intestinal.","A prendre en compte",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","ANTICOAGULANTS ORAUX","Augmentation du risque hémorragique de l'anticoagulant oral (agression de la muqueuse gastroduodénale par AINS).","Association DECONSEILLEE","Si l'association ne peut être évitée, surveillance clinique étroite, voire biologique."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES)","Réduction de l'effet antihypertenseur (inhibition des prostaglandines vasodilatatrices).","A prendre en compte",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","CICLOSPORINE","Risque d'addition des effets néphrotoxiques, notamment chez le sujet âgé.","Précaution d'emploi","Surveiller la fonction rénale en début de traitement par l'AINS."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","COBIMÉTINIB","Augmentation du risque hémorragique.","Précaution d'emploi","Surveillance clinique."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","DEFERASIROX","Majoration du risque ulcérogène et hémorragique digestif.","A prendre en compte",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","DIURÉTIQUES","Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques). Réduction de l'effet antihypertenseur.","Précaution d'emploi","Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","GLUCOCORTICOÏDES (SAUF HYDROCORTISONE)","Augmentation du risque d'ulcération et d'hémorragie gastro-intestinale.","A prendre en compte",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ)","Augmentation du risque hémorragique (agression de la muqueuse gastroduodénale par l'AINS).","Association DECONSEILLEE","Si l'association ne peut être évitée, surveillance clinique étroite."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","HÉPARINES (DOSES PRÉVENTIVES)","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","INHIBITEURS DE L'ENZYME DE CONVERSION","Insuffisance rénale aiguë chez le patient à risque. Réduction de l'effet antihypertenseur.","Précaution d'emploi","Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE","Majoration du risque hémorragique.","A prendre en compte",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","LITHIUM","Augmentation de la lithémie pouvant atteindre des valeurs toxiques (diminution de l'excrétion rénale du lithium).","Association DECONSEILLEE","Si inévitable, surveiller étroitement la lithémie et adapter la posologie du lithium."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","METHOTREXATE","Augmentation de la toxicité hématologique du méthotrexate (diminution de sa clairance rénale par AINS).","Association déconseillée / Précaution d'emploi","Méthotrexate > 20 mg/semaine: association déconseillée. Kétoprofène: respecter délai de 12h. Méthotrexate <= 20 mg/semaine: précaution d'emploi."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","MIFAMURTIDE","Aux doses élevées d'AINS, risque de moindre efficacité du mifamurtide.","CONTRE-INDICATION",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","NICORANDIL","Majoration du risque ulcérogène et hémorragique digestif.","Association DECONSEILLEE",""
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","PEMETREXED","Risque de majoration de la toxicité du pemetrexed (diminution de sa clairance rénale par les AINS).","Association déconseillée / Précaution d'emploi","Association déconseillée en cas de fonction rénale faible à modérée. Précaution d'emploi si fonction rénale normale."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","TACROLIMUS","Risque d'addition des effets néphrotoxiques, notamment chez le sujet âgé.","Précaution d'emploi","Surveiller la fonction rénale en début de traitement par l'AINS."
"ANTI-INFLAMMATOIRES NON STÉROÏDIENS","TENOFOVIR DISOPROXIL","Risque de majoration de la néphrotoxicité du ténofovir, notamment avec doses élevées d'AINS ou facteurs de risque.","Précaution d'emploi","En cas d'association, surveiller la fonction rénale."
"ANTIPARASITAIRES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES","SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES","Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.","CONTRE-INDICATION / Association DECONSEILLEE","CI avec citalopram, dompéridone, escitalopram, hydroxyzine, pipéraquine. Association déconseillée avec autres torsadogènes."
"ANTIPARKINSONIENS ANTICHOLINEPGIQUES","ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES","Risque de majoration des troubles neuropsychiques.","Précaution d'emploi","Surveillance clinique et biologique régulière, notamment en début d'association."
"ANTIPARKINSONIENS DOPAMINERGIQUES","NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE)","Antagonisme réciproque du dopaminergique et des neuroleptiques. Le dopaminergique peut provoquer ou aggraver les troubles psychotiques.","Association DECONSEILLEE","En cas de nécessité de neuroleptique, diminuer le dopaminergique progressivement jusqu'à l'arrêt."
"ANTIPURINES","ANTIVITAMINES K","Augmentation du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation de la posologie d'AVK à l'initiation et après l'arrêt."
"ANTIPURINES","DÉRIVÉS DE L'ACIDE AMINOSALICYLIQUE (ASA)","Risque de majoration de l'effet myélosuppresseur par inhibition du métabolisme hépatique de l'immunomodulateur.","A prendre en compte",""
"ANTIPURINES","INHIBITEURS DE LA XANTHINE OXYDASE","Insuffisance médullaire éventuellement grave.","CONTRE-INDICATION",""
"ANTIPURINES","RIBAVIRINE","Risque majoré d'effets indésirables graves, par inhibition du métabolisme de l'immunomodulateur par la ribavirine.","Association DECONSEILLEE",""
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","ATAZANAVIR","Risque de diminution des concentrations plasmatiques de l'atazanavir.","A prendre en compte",""
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","CYANOCOBALAMINE","Risque de carence en cyanocobalamine après traitement prolongé (quelques années) par diminution de l'absorption digestive.","A prendre en compte",""
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS","Risque de diminution de la biodisponibilité de l'ITK en raison de son absorption pH-dépendante.","A prendre en compte","Sauf avec entrectinib et vandétanib."
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","ITRACONAZOLE","Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire.","A prendre en compte",""
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","KETOCONAZOLE","Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire.","A prendre en compte",""
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","POSACONAZOLE","Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire.","Association DECONSEILLEE","Uniquement avec la forme suspension buvable de posaconazole."
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","RILPIVIRINE","Risque de diminution des concentrations plasmatiques de la rilpivirine.","A prendre en compte","Si nécessaire, utiliser un anti-H2 en 1 prise/j, au moins 12h avant ou 4h après."
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","SOTORASIB","Risque de diminution de l'effet du sotorasib, par diminution de son absorption.","A prendre en compte",""
"ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2","ULIPRISTAL","Risque de diminution de l'effet de l'ulipristal, par diminution de son absorption.","A prendre en compte",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","ATAZANAVIR","Diminution très importante des concentrations plasmatiques de l'atazanavir, avec risque d'échec thérapeutique.","Association DECONSEILLEE",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","CYANOCOBALAMINE","Risque de carence en cyanocobalamine après traitement prolongé (quelques années) par diminution de l'absorption.","A prendre en compte",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","HORMONES THYROIDIENNES","Diminution probable de l'absorption des hormones thyroïdiennes par augmentation du pH intra-gastrique.","Précaution d'emploi","Contrôle clinique et biologique régulier, avec augmentation éventuelle de la posologie des hormones thyroïdiennes."
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS","Risque de diminution de la biodisponibilité de l'ITK en raison de son absorption pH-dépendante.","A prendre en compte","Sauf avec entrectinib, fédratinib, imatinib, tucatinib et vandétanib."
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","ITRACONAZOLE","Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique.","A prendre en compte",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","KETOCONAZOLE","Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique.","A prendre en compte",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","LÉDIPASVIR","Diminution des concentrations du lédipasvir en cas d'administration de l'IPP avant le lédipasvir.","Précaution d'emploi","Prendre l'IPP et le lédipasvir simultanément."
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","METHOTREXATE","Risque d'augmentation de la toxicité du méthotrexate par diminution de son élimination.","Association déconseillée / A prendre en compte","Association déconseillée avec méthotrexate > 20 mg/semaine. A prendre en compte pour doses inférieures."
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","MILLEPERTUIS","Risque d'inefficacité du traitement antisécrétoire par augmentation de son métabolisme par le millepertuis.","A prendre en compte",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","MYCOPHENOLATE MOFETIL","Diminution des concentrations de l'acide mycophénolique d'environ un tiers, avec risque potentiel de baisse d'efficacité.","A prendre en compte",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","POSACONAZOLE","Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique.","Association DECONSEILLEE","Uniquement avec la forme suspension buvable de posaconazole."
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","RILPIVIRINE","Diminution des concentrations plasmatiques de rilpivirine par l'IPP (absorption diminuée en raison de l'augmentation du pH).","CONTRE-INDICATION",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","SOTORASIB","Risque de diminution de l'effet du sotorasib, par diminution de son absorption.","A prendre en compte",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","ULIPRISTAL","Risque de diminution de l'effet de l'ulipristal, par diminution de son absorption.","A prendre en compte",""
"ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS","VELPATASVIR","Diminution des concentrations de velpatasvir et de sofosbuvir.","Association DECONSEILLEE","Si inévitable, la bithérapie velpatasvir/sofosbuvir doit être prise au moment du repas, ou 4h avant la prise d'un IPP à dose minimale."
"ANTISEPTIQUES MERCURIELS","POVIDONE IODÉE","Érythèmes, phlyctènes, voire nécrose cutanéo-muqueuse (formation d'un complexe caustique).","Association DECONSEILLEE",""
"ANTISPASMODIQUES URINAIRES","INHIBITEURS PUISSANTS DU CYP3A4","Risque de majoration des effets indésirables.","CONTRE-INDICATION / Association DECONSEILLEE / Précaution d'emploi / A prendre en compte","CI: darifénacine, fésotérodine/solifénacine (si IR/IH modérée à sévère). Déconseillé: toltérodine. Précaution: fésotérodine/solifénacine (réduire dose à 4-5mg). A prendre en compte: oxybutynine."
"ANTI-TNF ALPHA","ABATACEPT","Majoration de l'immunodépression.","Association DECONSEILLEE",""
"ANTI-TNF ALPHA","ANAKINRA","Risque accru d'infections graves et de neutropénies.","Association DECONSEILLEE",""
"ANTI-TNF ALPHA","CANAKINUMAB","Risque de majoration des infections graves.","Association DECONSEILLEE",""
"ANTI-TNF ALPHA","VACCINS VIVANTS ATTÉNUÉS","Risque de maladie vaccinale généralisée éventuellement mortelle.","CONTRE-INDICATION","Et pendant les 3 mois suivant l'arrêt du traitement."
"ANTITUSSIFS MORPHINE-LIKE","ANALGÉSIQUES MORPHINIQUES AGONISTES","Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.","A prendre en compte",""
"ANTITUSSIFS MORPHINE-LIKE","METHADONE","Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.","A prendre en compte",""
"ANTITUSSIFS MORPHINIQUES VRAIS","ANALGÉSIQUES MORPHINIQUES AGONISTES","Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.","A prendre en compte",""
"ANTITUSSIFS MORPHINIQUES VRAIS","METHADONE","Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.","A prendre en compte",""
"ANTITUSSIFS MORPHINIQUES VRAIS","MORPHINIQUES AGONISTES-ANTAGONISTES","Diminution de l'effet antalgique ou antitussif, avec risque d'apparition d'un syndrome de sevrage.","Association DECONSEILLEE",""
"ANTIVITAMINES K","ALLOPURINOL","Augmentation du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","AMIODARONE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et jusqu'à 4 semaines après son arrêt."
"ANTIVITAMINES K","ANDROGÈNES","Augmentation du risque hémorragique par effet direct sur la coagulation et/ou les systèmes fibrinolytiques.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","ANTIPURINES","Augmentation du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK à l'initiation et après l'arrêt."
"ANTIVITAMINES K","APREPITANT","Risque de diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique par l'aprépitant.","A prendre en compte",""
"ANTIVITAMINES K","BOSENTAN","Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K."
"ANTIVITAMINES K","CEFAMANDOLE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","CEFAZOLINE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","CEFTRIAXONE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","CIMETIDINE","Avec cimétidine >= 800 mg/j: augmentation de l'effet de l'antivitamine K et du risque hémorragique (diminution du métabolisme hépatique).","A prendre en compte",""
"ANTIVITAMINES K","CLINDAMYCINE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","COLCHICINE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","CYCLINES","Augmentation de l'effet de l'antivitamine K et du risque hémorragique (effet direct sur la coagulation pour la tigécycline).","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","CYTOTOXIQUES","Augmentation du risque thrombotique et hémorragique au cours des affections tumorales. Possible interaction AVK / chimiothérapie.","Précaution d'emploi","Contrôle plus fréquent de l'INR."
"ANTIVITAMINES K","DANAZOL","Augmentation du risque hémorragique par effet direct sur la coagulation et/ou les systèmes fibrinolytiques.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","DEFERASIROX","Majoration du risque ulcérogène et hémorragique digestif.","A prendre en compte",""
"ANTIVITAMINES K","DISULFIRAME","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","ECONAZOLE","Quelle que soit la voie d'administration: augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","EFAVIRENZ","Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K."
"ANTIVITAMINES K","FIBRATES","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","FLUCONAZOLE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","FLUOROQUINOLONES","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)","Augmentation importante de l'effet de l'antivitamine K et du risque hémorragique.","Association DECONSEILLEE","Si elle ne peut être évitée, contrôle plus fréquent de l'INR. Adaptation de la posologie d'AVK pendant le traitement et 8 jours après l'arrêt."
"ANTIVITAMINES K","GLUCOSAMINE","Augmentation du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K."
"ANTIVITAMINES K","INDUCTEURS ENZYMATIQUES PUISSANTS","Diminution (ou, rarement, augmentation avec la phénytoïne) de l'effet de l'antivitamine K par augmentation de son métabolisme.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES)","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K."
"ANTIVITAMINES K","INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR","Variation de l'effet de l'antivitamine K, le plus souvent dans le sens d'une diminution.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant la durée du traitement."
"ANTIVITAMINES K","LEVOCARNITINE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","MACROLIDES (SAUF SPIRAMYCINE)","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","METHYLPREDNISOLONE","Pour des doses de 0,5 à 1g en bolus: augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle de l'INR 2 à 4 jours après le bolus ou en présence de tous signes hémorragiques."
"ANTIVITAMINES K","MICONAZOLE","Hémorragies imprévisibles, éventuellement graves.","CONTRE-INDICATION",""
"ANTIVITAMINES K","MILLEPERTUIS","Diminution des concentrations d'AVK (effet inducteur), risque d'annulation de l'effet et d'événement thrombotique.","CONTRE-INDICATION","Ne pas interrompre brutalement le millepertuis si association fortuite, contrôler l'INR avant et après l'arrêt."
"ANTIVITAMINES K","NEVIRAPINE","Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K."
"ANTIVITAMINES K","NOSCAPINE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Association DECONSEILLEE",""
"ANTIVITAMINES K","ORLISTAT","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","PARACETAMOL","Risque d'augmentation de l'effet de l'AVK et du risque hémorragique lors de prises aux doses maximales (4 g/j) pendant au moins 4 jours.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","PENTOXIFYLLINE","Augmentation du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","PRISTINAMYCINE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
